# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -2.500e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   3.000e-010 m
# Parameter mode                  Z before V
# Raster time                     5.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      5.648e-001, 1.169e+001 [nm]
#                      end        1.130e+000, 1.130e+001 [nm]
# 
# 
#              Position                                I(r)
# ---------------------             -----------------------
   1.3327786441812e-010              3.878087735892943e-011
   1.3396486371924e-010              3.728310254462001e-011
   1.3465186302037e-010              3.753182713330956e-011
   1.3533886232149e-010              3.692319620400378e-011
   1.3602586162262e-010              3.623501682457474e-011
   1.3671286092374e-010              3.622447239064027e-011
   1.3739986022486e-010              3.742064538138288e-011
   1.3808685952599e-010              3.884972630991332e-011
   1.3877385882711e-010              3.701313402285661e-011
   1.3946085812824e-010              3.473724201026532e-011
   1.4014785742936e-010              3.776473507109740e-011
   1.4083485673049e-010              3.728837476158725e-011
   1.4152185603161e-010              3.580641659817953e-011
   1.4220885533273e-010              3.673262106715874e-011
   1.4289585463386e-010              3.811936919474639e-011
   1.4358285393498e-010              3.481120811301152e-011
   1.4426985323611e-010              3.850036440323156e-011
   1.4495685253723e-010              3.537766130657942e-011
   1.4564385183836e-010              3.799764300888523e-011
   1.4633085113948e-010              3.527175177161997e-011
   1.4701785044060e-010              3.770643055404798e-011
   1.4770484974173e-010              3.851633611933819e-011
   1.4839184904285e-010              3.664268324830591e-011
   1.4907884834398e-010              3.511823721875049e-011
   1.4976584764510e-010              3.566871869621176e-011
   1.5045284694623e-010              3.645738032842810e-011
   1.5113984624735e-010              3.618741180666470e-011
   1.5182684554847e-010              3.481663539518368e-011
   1.5251384484960e-010              3.793933849183582e-011
   1.5320084415072e-010              3.705019460683218e-011
   1.5388784345185e-010              3.746297818232567e-011
   1.5457484275297e-010              3.711361627564391e-011
   1.5526184205410e-010              3.629332134162415e-011
   1.5594884135522e-010              3.622447239064027e-011
   1.5663584065635e-010              3.736249592953837e-011
   1.5732283995747e-010              3.509714835088155e-011
   1.5800983925859e-010              3.680674223510986e-011
   1.5869683855972e-010              3.389027586099955e-011
   1.5938383786084e-010              3.440896897145250e-011
   1.6007083716197e-010              3.548884305850611e-011
   1.6075783646309e-010              3.764300888523624e-011
   1.6144483576422e-010              3.465242134317481e-011
   1.6213183506534e-010              3.697080122191381e-011
   1.6281883436646e-010              3.590162663399960e-011
   1.6350583366759e-010              3.792879405790134e-011
   1.6419283296871e-010              3.724076974367722e-011
   1.6487983226984e-010              3.419203274977128e-011
   1.6556683157096e-010              3.719843694273442e-011
   1.6625383087209e-010              3.603389725379522e-011
   1.6694083017321e-010              3.520817503760331e-011
   1.6762782947433e-010              3.676440943416707e-011
   1.6831482877546e-010              3.647846919629704e-011
   1.6900182807658e-010              3.710834405867668e-011
   1.6968882737771e-010              3.475305866116702e-011
   1.7037582667883e-010              3.545178247453054e-011
   1.7106282597996e-010              3.761649273519515e-011
   1.7174982528108e-010              3.756361550031788e-011
   1.7243682458220e-010              3.472127029415869e-011
   1.7312382388333e-010              3.759540386732621e-011
   1.7381082318445e-010              3.769588612011351e-011
   1.7449782248558e-010              3.677495386810154e-011
   1.7518482178670e-010              3.777527950503187e-011
   1.7587182108783e-010              3.727240304548063e-011
   1.7655882038895e-010              3.889205911085612e-011
   1.7724581969008e-010              3.803470359286080e-011
   1.7793281899120e-010              3.863279008823211e-011
   1.7861981829232e-010              3.703422289072555e-011
   1.7930681759345e-010              3.493308936407759e-011
   1.7999381689457e-010              3.669556048318318e-011
   1.8068081619570e-010              3.697080122191381e-011
   1.8136781549682e-010              3.686489168695437e-011
   1.8205481479795e-010              3.781234008900743e-011
   1.8274181409907e-010              3.806106467769697e-011
   1.8342881340019e-010              3.571632371412179e-011
   1.8411581270132e-010              3.785994510691746e-011
   1.8480281200244e-010              3.572702321326118e-011
   1.8548981130357e-010              3.766936997007241e-011
   1.8617681060469e-010              3.533532850563662e-011
   1.8686380990582e-010              3.861681837212548e-011
   1.8755080920694e-010              3.916202763261952e-011
   1.8823780850806e-010              3.657383429732203e-011
   1.8892480780919e-010              3.906154537983222e-011
   1.8961180711031e-010              3.655259036424816e-011
   1.9029880641144e-010              3.910387818077501e-011
   1.9098580571256e-010              3.677495386810154e-011
   1.9167280501369e-010              3.441966847059188e-011
   1.9235980431481e-010              3.733597977949728e-011
   1.9304680361593e-010              3.745243374839120e-011
   1.9373380291706e-010              3.665322768224038e-011
   1.9442080221818e-010              3.360976290530168e-011
   1.9510780151931e-010              3.757943215121959e-011
   1.9579480082043e-010              3.544108297539115e-011
   1.9648180012156e-010              3.728310254462001e-011
   1.9716879942268e-010              3.628277690768968e-011
   1.9785579872380e-010              3.889205911085612e-011
   1.9854279802493e-010              3.737831258044007e-011
   1.9922979732605e-010              3.638853137744422e-011
   1.9991679662718e-010              3.578517266510568e-011
   2.0060379592830e-010              3.730419141248895e-011
   2.0129079522943e-010              3.483245204608538e-011
   2.0197779453055e-010              3.768534168617904e-011
   2.0266479383168e-010              3.619268402363193e-011
   2.0335179313280e-010              3.807703639380359e-011
   2.0403879243392e-010              3.555753694428507e-011
   2.0472579173505e-010              3.537766130657942e-011
   2.0541279103617e-010              3.525593512071826e-011
   2.0609979033730e-010              3.565817426227729e-011
   2.0678678963842e-010              3.760067608429345e-011
   2.0747378893955e-010              3.718246522662780e-011
   2.0816078824067e-010              3.847927553536262e-011
   2.0884778754179e-010              3.953790568934237e-011
   2.0953478684292e-010              3.480593589604429e-011
   2.1022178614404e-010              3.767479725224457e-011
   2.1090878544517e-010              3.393788087890958e-011
   2.1159578474629e-010              3.711904355781606e-011
   2.1228278404742e-010              3.516584223666051e-011
   2.1296978334854e-010              3.820403479663198e-011
   2.1365678264966e-010              3.539347795748112e-011
   2.1434378195079e-010              3.703422289072555e-011
   2.1503078125191e-010              3.905084588069283e-011
   2.1571778055304e-010              3.757415993425235e-011
   2.1640477985416e-010              3.607095783777078e-011
   2.1709177915529e-010              3.638325916047698e-011
   2.1777877845641e-010              3.703965017289771e-011
   2.1846577775753e-010              3.759540386732621e-011
   2.1915277705866e-010              3.804524802679527e-011
   2.1983977635978e-010              3.729364697855448e-011
   2.2052677566091e-010              3.738885701437454e-011
   2.2121377496203e-010              3.963311572516243e-011
   2.2190077426316e-010              3.689668005396269e-011
   2.2258777356428e-010              3.931554218548900e-011
   2.2327477286541e-010              3.603389725379522e-011
   2.2396177216653e-010              3.849509218626432e-011
   2.2464877146765e-010              3.893966412876614e-011
   2.2533577076878e-010              3.810882476081192e-011
   2.2602277006990e-010              3.702367845679108e-011
   2.2670976937103e-010              3.809285304470530e-011
   2.2739676867215e-010              3.893439191179891e-011
   2.2808376797328e-010              3.862751787126486e-011
   2.2877076727440e-010              3.656856208035479e-011
   2.2945776657552e-010              3.878087735892943e-011
   2.3014476587665e-010              4.014653661864814e-011
   2.3083176517777e-010              3.830994433159144e-011
   2.3151876447890e-010              3.721425359363612e-011
   2.3220576378002e-010              3.676968165113430e-011
   2.3289276308115e-010              3.997177813270480e-011
   2.3357976238227e-010              3.687016390392160e-011
   2.3426676168339e-010              3.650498534633814e-011
   2.3495376098452e-010              3.811936919474639e-011
   2.3564076028564e-010              3.891330304392998e-011
   2.3632775958677e-010              3.590689885096683e-011
   2.3701475888789e-010              3.725131417761168e-011
   2.3770175818902e-010              3.700258958892214e-011
   2.3838875749014e-010              3.694955728883996e-011
   2.3907575679126e-010              3.741010094744841e-011
   2.3976275609239e-010              3.777000728806463e-011
   2.4044975539351e-010              3.899796864581557e-011
   2.4113675469464e-010              3.609220177084464e-011
   2.4182375399576e-010              3.665849989920762e-011
   2.4251075329689e-010              3.886569802601994e-011
   2.4319775259801e-010              3.624028904154197e-011
   2.4388475189913e-010              3.710834405867668e-011
   2.4457175120026e-010              3.811409697777915e-011
   2.4525875050138e-010              3.728310254462001e-011
   2.4594574980251e-010              3.820403479663198e-011
   2.4663274910363e-010              3.591217106793406e-011
   2.4731974840476e-010              3.653150149637923e-011
   2.4800674770588e-010              3.634619857650142e-011
   2.4869374700700e-010              3.645738032842810e-011
   2.4938074630813e-010              3.768006946921181e-011
   2.5006774560925e-010              3.917257206655399e-011
   2.5075474491038e-010              3.687543612088884e-011
   2.5144174421150e-010              3.787591682302409e-011
   2.5212874351263e-010              3.487478484702818e-011
   2.5281574281375e-010              3.600210888678689e-011
   2.5350274211487e-010              3.742591759835011e-011
   2.5418974141600e-010              3.729891919552172e-011
   2.5487674071712e-010              3.735722371257114e-011
   2.5556374001825e-010              3.882336522507714e-011
   2.5625073931937e-010              3.608692955387740e-011
   2.5693773862050e-010              3.636217029260804e-011
   2.5762473792162e-010              3.535114515653832e-011
   2.5831173722274e-010              3.846330381925600e-011
   2.5899873652387e-010              3.820930701359922e-011
   2.5968573582499e-010              3.754764378421126e-011
   2.6037273512612e-010              3.627734962551753e-011
   2.6105973442724e-010              3.826761153064864e-011
   2.6174673372837e-010              4.089813766688893e-011
   2.6243373302949e-010              3.810882476081192e-011
   2.6312073233061e-010              3.950611732233404e-011
   2.6380773163174e-010              3.577990044813844e-011
   2.6449473093286e-010              3.730419141248895e-011
   2.6518173023399e-010              3.814045806261533e-011
   2.6586872953511e-010              3.594395943494239e-011
   2.6655572883624e-010              3.726713082851339e-011
   2.6724272813736e-010              3.873854455798663e-011
   2.6792972743849e-010              3.485369597915924e-011
   2.6861672673961e-010              3.913023926561119e-011
   2.6930372604073e-010              3.339282668362046e-011
   2.6999072534186e-010              3.375273302423669e-011
   2.7067772464298e-010              3.866457845524043e-011
   2.7136472394411e-010              4.006187101676255e-011
   2.7205172324523e-010              3.638325916047698e-011
   2.7273872254636e-010              3.861154615515825e-011
   2.7342572184748e-010              3.569523484625285e-011
   2.7411272114860e-010              3.754764378421126e-011
   2.7479972044973e-010              3.687016390392160e-011
   2.7548671975085e-010              3.593868721797516e-011
   2.7617371905198e-010              3.817224642962366e-011
   2.7686071835310e-010              3.610274620477911e-011
   2.7754771765423e-010              3.821985144753369e-011
   2.7823471695535e-010              3.929429825241514e-011
   2.7892171625647e-010              3.854812448634651e-011
   2.7960871555760e-010              3.812991362868086e-011
   2.8029571485872e-010              3.947960117229295e-011
   2.8098271415985e-010              3.693374063793825e-011
   2.8166971346097e-010              3.627207740855029e-011
   2.8235671276210e-010              3.700786180588938e-011
   2.8304371206322e-010              3.962784350819520e-011
   2.8373071136434e-010              3.743661709748949e-011
   2.8441771066547e-010              3.976011412799082e-011
   2.8510470996659e-010              3.717719300966056e-011
   2.8579170926772e-010              3.730419141248895e-011
   2.8647870856884e-010              3.988711253081921e-011
   2.8716570786997e-010              3.991362868086030e-011
   2.8785270717109e-010              3.723549752670998e-011
   2.8853970647221e-010              3.882336522507714e-011
   2.8922670577334e-010              3.622974460760750e-011
   2.8991370507446e-010              3.915148319868505e-011
   2.9060070437559e-010              3.718773744359503e-011
   2.9128770367671e-010              3.879157685806882e-011
   2.9197470297784e-010              3.893966412876614e-011
   2.9266170227896e-010              3.745243374839120e-011
   2.9334870158008e-010              3.964893237606414e-011
   2.9403570088121e-010              3.762703716912962e-011
   2.9472270018233e-010              3.644156367752640e-011
   2.9540969948346e-010              3.658437873125650e-011
   2.9609669878458e-010              4.096155933570066e-011
   2.9678369808571e-010              3.856394113724821e-011
   2.9747069738683e-010              3.657383429732203e-011
   2.9815769668795e-010              3.517654173579990e-011
   2.9884469598908e-010              3.649444091240367e-011
   2.9953169529020e-010              3.731489091162834e-011
   3.0021869459133e-010              3.647319697932981e-011
   3.0090569389245e-010              3.655786258121540e-011
   3.0159269319358e-010              3.733070756253005e-011
   3.0227969249470e-010              3.652622927941199e-011
   3.0296669179582e-010              3.485369597915924e-011
   3.0365369109695e-010              3.602335281986075e-011
   3.0434069039807e-010              3.980771914590085e-011
   3.0502768969920e-010              3.750531098326847e-011
   3.0571468900032e-010              3.708198297384050e-011
   3.0640168830145e-010              3.562111367830173e-011
   3.0708868760257e-010              3.446200127153468e-011
   3.0777568690369e-010              3.501248274899596e-011
   3.0846268620482e-010              3.720370915970165e-011
   3.0914968550594e-010              3.657910651428926e-011
   3.0983668480707e-010              3.655259036424816e-011
   3.1052368410819e-010              3.640977531051807e-011
   3.1121068340932e-010              3.586456605002404e-011
   3.1189768271044e-010              3.673262106715874e-011
   3.1258468201156e-010              3.760594830126069e-011
   3.1327168131269e-010              3.675913721719984e-011
   3.1395868061381e-010              3.705019460683218e-011
   3.1464567991494e-010              3.639907581137869e-011
   3.1533267921606e-010              3.625098854068136e-011
   3.1601967851719e-010              3.539875017444836e-011
   3.1670667781831e-010              3.779652343810572e-011
   3.1739367711943e-010              3.784412845601575e-011
   3.1808067642056e-010              3.913023926561119e-011
   3.1876767572168e-010              3.746297818232567e-011
   3.1945467502281e-010              3.408612321481183e-011
   3.2014167432393e-010              3.749476654933400e-011
   3.2082867362506e-010              3.861154615515825e-011
   3.2151567292618e-010              3.886569802601994e-011
   3.2220267222731e-010              3.633565414256695e-011
   3.2288967152843e-010              3.619268402363193e-011
   3.2357667082955e-010              3.579571709904014e-011
   3.2426367013068e-010              3.746297818232567e-011
   3.2495066943180e-010              3.697607343888105e-011
   3.2563766873293e-010              3.818821814573028e-011
   3.2632466803405e-010              3.541472189055498e-011
   3.2701166733518e-010              3.547287134239948e-011
   3.2769866663630e-010              3.762176495216239e-011
   3.2838566593742e-010              3.755834328335065e-011
   3.2907266523855e-010              3.570577928018732e-011
   3.2975966453967e-010              3.562111367830173e-011
   3.3044666384080e-010              3.640450309355084e-011
   3.3113366314192e-010              3.626680519158306e-011
   3.3182066244305e-010              3.621920017367303e-011
   3.3250766174417e-010              3.632510970863248e-011
   3.3319466104529e-010              3.655786258121540e-011
   3.3388166034642e-010              3.751058320023570e-011
   3.3456865964754e-010              3.784412845601575e-011
   3.3525565894867e-010              3.608150227170526e-011
   3.3594265824979e-010              3.593341500100793e-011
   3.3662965755092e-010              3.692846842097102e-011
   3.3731665685204e-010              3.691792398703655e-011
   3.3800365615316e-010              3.754764378421126e-011
   3.3869065545429e-010              3.696552900494658e-011
   3.3937765475541e-010              3.759540386732621e-011
   3.4006465405654e-010              4.124207229139853e-011
   3.4075165335766e-010              3.693901285490549e-011
   3.4143865265879e-010              3.661089488129759e-011
   3.4212565195991e-010              3.772240227015460e-011
   3.4281265126103e-010              3.763773666826901e-011
   3.4349965056216e-010              3.693374063793825e-011
   3.4418664986328e-010              3.809285304470530e-011
   3.4487364916441e-010              3.819876257966475e-011
   3.4556064846553e-010              3.572702321326118e-011
   3.4624764776666e-010              3.726713082851339e-011
   3.4693464706778e-010              3.643613639535425e-011
   3.4762164636890e-010              3.524523562157887e-011
   3.4830864567003e-010              3.633038192559972e-011
   3.4899564497115e-010              3.876506070802773e-011
   3.4968264427228e-010              3.954317790630961e-011
   3.5036964357340e-010              3.527175177161997e-011
   3.5105664287453e-010              3.681728666904433e-011
   3.5174364217565e-010              3.720898137666889e-011
   3.5243064147677e-010              3.638853137744422e-011
   3.5311764077790e-010              3.756361550031788e-011
   3.5380464007902e-010              3.898742421188110e-011
   3.5449163938015e-010              3.704492238986494e-011
   3.5517863868127e-010              3.577990044813844e-011
   3.5586563798240e-010              3.760067608429345e-011
   3.5655263728352e-010              3.747367768146506e-011
   3.5723963658464e-010              3.437190838747693e-011
   3.5792663588577e-010              3.906681759679946e-011
   3.5861363518689e-010              3.493308936407759e-011
   3.5930063448802e-010              3.726713082851339e-011
   3.5998763378914e-010              3.658437873125650e-011
   3.6067463309027e-010              3.734125199646452e-011
   3.6136163239139e-010              3.522941897067717e-011
   3.6204863169251e-010              3.504938826776659e-011
   3.6273563099364e-010              3.850036440323156e-011
   3.6342263029476e-010              3.673789328412597e-011
   3.6410962959589e-010              3.773294670408907e-011
   3.6479662889701e-010              3.655786258121540e-011
   3.6548362819814e-010              3.602335281986075e-011
   3.6617062749926e-010              3.656328986338756e-011
   3.6685762680038e-010              3.604986896990185e-011
   3.6754462610151e-010              3.799764300888523e-011
   3.6823162540263e-010              3.848454775232986e-011
   3.6891862470376e-010              3.661616709826482e-011
   3.6960562400488e-010              3.833630541642761e-011
   3.7029262330601e-010              3.688086340306099e-011
   3.7097962260713e-010              3.683310331994604e-011
   3.7166662190825e-010              3.836809378343594e-011
   3.7235362120938e-010              3.574811208113012e-011
   3.7304062051050e-010              3.593868721797516e-011
   3.7372761981163e-010              3.787591682302409e-011
   3.7441461911275e-010              3.582750546604847e-011
   3.7510161841388e-010              3.523996340461164e-011
   3.7578861771500e-010              3.519235838670161e-011
   3.7647561701612e-010              3.463133247530587e-011
   3.7716261631725e-010              3.847400331839538e-011
   3.7784961561837e-010              3.791824962396688e-011
   3.7853661491950e-010              3.784412845601575e-011
   3.7922361422062e-010              3.640450309355084e-011
   3.7991061352175e-010              3.574283986416288e-011
   3.8059761282287e-010              3.419730496673852e-011
   3.8128461212400e-010              3.960659957512134e-011
   3.8197161142512e-010              3.607623005473801e-011
   3.8265861072624e-010              3.570577928018732e-011
   3.8334561002737e-010              3.765882553613795e-011
   3.8403260932849e-010              3.492238986493821e-011
   3.8471960862962e-010              3.920963265052955e-011
   3.8540660793074e-010              3.573756764719565e-011
   3.8609360723187e-010              3.786521732388469e-011
   3.8678060653299e-010              3.741010094744841e-011
   3.8746760583411e-010              3.640450309355084e-011
   3.8815460513524e-010              3.805052024376250e-011
   3.8884160443636e-010              3.617159515576300e-011
   3.8952860373749e-010              3.768534168617904e-011
   3.9021560303861e-010              3.763773666826901e-011
   3.9090260233974e-010              3.477957481120811e-011
   3.9158960164086e-010              3.716137635875886e-011
   3.9227660094198e-010              3.664795546527315e-011
   3.9296360024311e-010              3.682783110297880e-011
   3.9365059954423e-010              3.577462823117121e-011
   3.9433759884536e-010              3.664268324830591e-011
   3.9502459814648e-010              3.651552978027261e-011
   3.9571159744761e-010              3.764300888523624e-011
   3.9639859674873e-010              3.897672471274171e-011
   3.9708559604985e-010              3.763246445130177e-011
   3.9777259535098e-010              4.009365938377088e-011
   3.9845959465210e-010              3.728837476158725e-011
   3.9914659395323e-010              3.749476654933400e-011
